TWAP Cost,USD Cost
993547.2238751124,1000000
970098.3739228254,1000000
1026945.3116968191,1000000
761804.7252553963,1000000
1008205.4392707032,1000000
991342.0683629656,1000000
1000562.9011525181,1000000
972213.4935063242,1000000
1213851.9157546118,1000000
782854.127937231,1000000
1109916.20521763,1000000
1090085.2350729571,1000000
1088128.3965027963,1000000
1018348.2903860066,1000000
902775.7018196511,1000000
961900.9299477383,1000000
1099749.523862901,1000000
1082228.0632824055,1000000
1106630.3200353312,1000000
1074423.1154267448,1000000
825279.4470686257,1000000
1074362.2735851838,1000000
1093549.4396788636,1000000
924195.5540426963,1000000
938834.6846358888,1000000
1084479.031057605,1000000
1125796.4000498273,1000000
853870.2666645381,1000000
1010264.0217406702,1000000
904043.062880219,1000000
989962.0800602023,1000000
1029242.7987593827,1000000
1005098.0009514975,1000000
1057795.0216866238,1000000
1010157.2827288564,1000000
991487.0160609741,1000000
1118761.6961379205,1000000
951042.1582892698,1000000
1028351.6677835583,1000000
1130619.4527021744,1000000
943965.3574874082,1000000
863219.5547123842,1000000
870964.3925809709,1000000
943766.5902009025,1000000
967156.6453983849,1000000
1009727.2679871817,1000000
1145132.7569265198,1000000
1019280.7230436177,1000000
946129.9739292118,1000000
973249.0359684749,1000000
944349.097077329,1000000
1128392.020194218,1000000
907303.641846777,1000000
888230.5666699992,1000000
1302739.61148131,1000000
917672.053747137,1000000
923692.1720229746,1000000
1054525.4762723856,1000000
1115194.6112059806,1000000
1159870.5712041007,1000000
1079890.9976788724,1000000
1038391.227306976,1000000
1092636.365971637,1000000
930929.8846902639,1000000
1034549.9125752678,1000000
1276166.8389350078,1000000
1042257.7537415655,1000000
1001068.5307323097,1000000
973238.5542264141,1000000
983825.2138126848,1000000
838192.9449293978,1000000
909117.9521486217,1000000
1335027.3226582122,1000000
1133328.898202229,1000000
1000489.6353096023,1000000
936895.3323210112,1000000
959104.1509105014,1000000
1157017.4653220426,1000000
1024462.1187321171,1000000
1016887.000424334,1000000
1093828.025644703,1000000
932933.4067371299,1000000
883598.7868197409,1000000
992937.3401887878,1000000
961056.6604480792,1000000
1066336.618406824,1000000
1127740.0172333473,1000000
990908.363593264,1000000
952631.9100393708,1000000
885442.1768775843,1000000
1046153.0845535169,1000000
982270.3396937052,1000000
908662.1585701691,1000000
1076367.7824185323,1000000
942432.6545303995,1000000
920026.7304703429,1000000
987993.1500233699,1000000
1012087.5525535671,1000000
1092508.2074597531,1000000
1108947.9194134646,1000000
1058616.5294013096,1000000
847353.2586446486,1000000
1005368.264035857,1000000
900797.3626717438,1000000
1081548.9700557254,1000000
1000275.683692474,1000000
1080316.5483930653,1000000
1066156.9511179442,1000000
988465.1954134323,1000000
958304.3558192864,1000000
861335.7599049268,1000000
1137507.9757330976,1000000
1074679.9204706158,1000000
1326920.8723016982,1000000
944492.8353547063,1000000
1066161.6175091588,1000000
995901.9739917716,1000000
1152111.9913145718,1000000
928700.6521895964,1000000
939838.1076186205,1000000
930775.6583018046,1000000
932657.4526911963,1000000
903494.724032463,1000000
1107783.6095481678,1000000
864478.0129126067,1000000
904862.3126258282,1000000
940149.240918947,1000000
877930.8685163428,1000000
935415.9917991187,1000000
1066508.3730853286,1000000
925468.7611099264,1000000
851288.517851418,1000000
1012119.0092185931,1000000
971064.7080276267,1000000
1065419.9446689272,1000000
894623.4104175232,1000000
1002885.8688909662,1000000
1010324.6421897128,1000000
1065939.2817797125,1000000
1176261.5201407745,1000000
987052.0299140235,1000000
769580.0048424851,1000000
1034490.6730027966,1000000
1052329.6619276633,1000000
1035060.1828350266,1000000
1014728.2009840065,1000000
1102047.0491626193,1000000
1039144.4969374933,1000000
1022574.0146458362,1000000
1029104.6599562294,1000000
822739.8026269138,1000000
961122.4071781199,1000000
993933.5020824218,1000000
1162314.5624868064,1000000
1116070.8101504073,1000000
865097.3541028381,1000000
955702.9527695678,1000000
1047507.982446881,1000000
863794.3323077335,1000000
862301.7926201952,1000000
943374.3545174333,1000000
994929.1731489646,1000000
897512.762086594,1000000
1070775.8186159956,1000000
1075242.0955951882,1000000
976896.0877021608,1000000
1129241.3850162579,1000000
901926.3603961979,1000000
1100565.8643516235,1000000
975108.8725464499,1000000
1098425.3302814933,1000000
1104517.5209746258,1000000
964193.7331159282,1000000
1126753.3466385077,1000000
1278541.2878542428,1000000
948336.5286974364,1000000
869451.1633617304,1000000
1047970.8127956646,1000000
1084218.8455213795,1000000
1170806.2080433108,1000000
878292.2781950544,1000000
980152.6630609134,1000000
890692.0271204563,1000000
1039967.348448559,1000000
1124740.7032506918,1000000
948375.9910875122,1000000
977696.1408777582,1000000
963014.4400281016,1000000
852291.1596507721,1000000
957552.3528283274,1000000
984432.979909334,1000000
1121524.593985296,1000000
907121.2176163654,1000000
837027.831890092,1000000
1094902.05499692,1000000
966399.3551624345,1000000
926820.7567313563,1000000
993408.0101294793,1000000
1124879.8297881223,1000000
1009577.8469317028,1000000
1118343.1549140892,1000000
965971.5710274592,1000000
934578.1782033528,1000000
1159279.72347987,1000000
872730.6960428501,1000000
1108906.6161523098,1000000
800082.9722796624,1000000
827770.1295388177,1000000
883368.8360191124,1000000
932546.8066998101,1000000
974696.511886406,1000000
973446.2393922446,1000000
893084.9196462749,1000000
833964.0756354025,1000000
962397.0624113533,1000000
1006473.3951031604,1000000
779765.5583475215,1000000
825163.2479721311,1000000
948454.3096526002,1000000
1115964.1728935787,1000000
983282.232764687,1000000
1062091.887540394,1000000
1020223.0740069849,1000000
981391.8565823549,1000000
869217.8008280279,1000000
920428.8074799855,1000000
957296.6784699511,1000000
1204729.0568156773,1000000
1031789.3077040709,1000000
845939.8739782794,1000000
1022470.8674427659,1000000
1079655.7834738102,1000000
1034844.9351595723,1000000
834888.752334814,1000000
1017671.0193163219,1000000
809435.530956136,1000000
913495.6609949487,1000000
937029.6279966587,1000000
1225936.579497194,1000000
1042720.168166861,1000000
964478.8275331118,1000000
958817.8232696413,1000000
1245839.1117961463,1000000
1010692.1810342586,1000000
963441.0733536542,1000000
1046742.8383046405,1000000
955606.3073863555,1000000
859987.0416049886,1000000
1210133.2095076514,1000000
836838.8805446856,1000000
1052065.5796782784,1000000
1185484.861098897,1000000
1002975.5780711761,1000000
1144379.4479514188,1000000
929458.1884729869,1000000
1134896.8299210754,1000000
1177757.983920181,1000000
924610.8661051627,1000000
1245758.300006815,1000000
1035102.5443510287,1000000
1006628.7571945685,1000000
1129281.735875867,1000000
1006006.4336248069,1000000
1091442.9900472586,1000000
885343.1050741103,1000000
1047669.8645924588,1000000
944406.0522282751,1000000
914411.9754732638,1000000
825435.648108987,1000000
972454.8755506075,1000000
908374.1448123355,1000000
910264.4279625192,1000000
1285963.1391745424,1000000
1169484.8309070873,1000000
1121488.9836056598,1000000
970220.7814179492,1000000
872427.2273767461,1000000
978192.3105092737,1000000
1069089.2314064086,1000000
959383.6564425247,1000000
1072603.6454594922,1000000
884253.8078649276,1000000
1155757.8731965553,1000000
984991.1110425679,1000000
959569.2088072007,1000000
1117550.5746064666,1000000
1070581.249607859,1000000
1023516.4374904728,1000000
1044480.5607909012,1000000
1025902.1080754305,1000000
1009303.6729890106,1000000
1112001.4724770472,1000000
1005695.8620680872,1000000
751139.3637694046,1000000
939191.1862603478,1000000
1331398.315105974,1000000
1115941.0379103534,1000000
1104908.4369617915,1000000
993221.3565609213,1000000
1107960.0868467747,1000000
1006404.6471820758,1000000
1035913.1877451625,1000000
888656.0618522279,1000000
1071546.8008013663,1000000
1007369.1372351145,1000000
944732.7688517742,1000000
999805.946154583,1000000
1077318.570037101,1000000
1072201.5275974036,1000000
1136428.8335994764,1000000
865620.9175983605,1000000
724530.7098814552,1000000
955231.3800482864,1000000
1061622.722844532,1000000
896504.4396289701,1000000
923292.3086854531,1000000
976246.3841868298,1000000
826226.4743066326,1000000
930244.315441916,1000000
895025.7016565026,1000000
945619.5991670188,1000000
953638.2418805101,1000000
926668.9050620572,1000000
1038318.0074444892,1000000
1122135.8800236124,1000000
1019250.3836970198,1000000
905627.783569445,1000000
1283633.3198066049,1000000
1023577.6846084151,1000000
992933.6650240498,1000000
907332.5471131692,1000000
1049579.2530240256,1000000
972472.0982046011,1000000
934404.6990188893,1000000
1186607.6434018996,1000000
1132479.4796938912,1000000
784827.6931532946,1000000
930394.2042123064,1000000
909750.9145767277,1000000
960181.5913304862,1000000
1127758.9004202604,1000000
1019562.5747593333,1000000
1027150.3325488613,1000000
