TWAP Cost,USD Cost
1260731.6908169333,1000000
1035742.2294804231,1000000
1088709.2326829622,1000000
987295.8918568847,1000000
939190.7374902673,1000000
909095.3112995934,1000000
858321.8774474225,1000000
846377.7465228469,1000000
1048910.8772777515,1000000
974293.1647189595,1000000
990993.8141029736,1000000
987717.0474262648,1000000
1049520.6463731981,1000000
963759.7378567982,1000000
754030.1651838989,1000000
911555.8305357744,1000000
1045572.5478954397,1000000
973005.0589616989,1000000
1004220.8369556601,1000000
917736.4852359877,1000000
844060.3400865388,1000000
976550.9409242324,1000000
1100102.8599765217,1000000
1246693.0313454752,1000000
974923.2288696452,1000000
1178727.03345241,1000000
1097691.9040979177,1000000
879302.9426239042,1000000
1252160.0154925245,1000000
881740.2316735252,1000000
988733.7322917924,1000000
1143588.2666209207,1000000
1108864.0066849068,1000000
1208028.6413819566,1000000
873751.6855063309,1000000
925249.8431590453,1000000
1270197.1220603448,1000000
1268671.6042351923,1000000
988992.9881725162,1000000
846350.8554202509,1000000
843199.0042303689,1000000
1003195.9420420962,1000000
931376.7816210839,1000000
979902.5879607105,1000000
976238.8815412343,1000000
1160305.046829719,1000000
855334.0303083498,1000000
899939.4788014801,1000000
1125243.4511992747,1000000
872847.823940748,1000000
937441.9493611776,1000000
1130050.7557965082,1000000
1041362.8185633912,1000000
1079214.5800686635,1000000
950366.7023088585,1000000
1153110.1181460798,1000000
886084.3105962522,1000000
1190679.2438467015,1000000
871783.8679663613,1000000
1018543.6689449245,1000000
928061.897465915,1000000
1101531.9604206912,1000000
827332.5753996471,1000000
1219225.0639745565,1000000
1117807.6313917593,1000000
1227621.7580154974,1000000
842551.4592938643,1000000
1123183.2792743803,1000000
1237300.7145271017,1000000
859407.3949684504,1000000
1144457.627416865,1000000
1033044.1522376811,1000000
914851.2719370301,1000000
1020096.626289765,1000000
813114.5900905216,1000000
823295.5027001734,1000000
998014.4677241078,1000000
1047724.7030807425,1000000
942542.6125215343,1000000
1032421.425924998,1000000
1056830.7211856141,1000000
1022589.6641264412,1000000
1116203.20736462,1000000
977748.2913280113,1000000
1055854.2950177894,1000000
970304.4246532778,1000000
929218.8353039931,1000000
1055719.761197069,1000000
1049248.9633237151,1000000
987423.8925299427,1000000
931498.0556244017,1000000
1016418.3383811133,1000000
1010774.0197294666,1000000
979922.5867264026,1000000
947698.0800773961,1000000
838277.8671101726,1000000
1189931.9643750524,1000000
1266967.4912945037,1000000
1115058.7420005794,1000000
887527.8217969616,1000000
994844.0006083702,1000000
937538.1373411742,1000000
1128894.8027743262,1000000
1400898.5321027911,1000000
966044.2865414065,1000000
839177.2682524426,1000000
1084159.9167841347,1000000
1078146.3525648883,1000000
1028796.3644495957,1000000
1165495.6711731476,1000000
900685.6732694474,1000000
976837.9737243596,1000000
1052787.3507956157,1000000
1116160.1747940164,1000000
1165134.0193566643,1000000
954502.1554440721,1000000
1013432.5560052855,1000000
799161.3897384135,1000000
930483.3600804436,1000000
960194.0566915586,1000000
1219533.3962940727,1000000
1196167.335317524,1000000
1222269.1548870052,1000000
971434.8450518498,1000000
1009116.8057174633,1000000
1010822.9559407656,1000000
1038204.0230185314,1000000
948777.5579685695,1000000
978695.9062724613,1000000
1063430.0729361814,1000000
1203120.942864477,1000000
920713.694039708,1000000
917169.0698441878,1000000
955338.2781557257,1000000
1131624.3275283128,1000000
803581.275628379,1000000
1012787.9780640595,1000000
926325.1144260495,1000000
932583.9850190249,1000000
1064389.7116067847,1000000
786376.4648827973,1000000
995943.9401397796,1000000
1233018.9156950838,1000000
1255735.6242161996,1000000
1052749.7162533728,1000000
950881.4367663368,1000000
961358.336274677,1000000
977337.1211776139,1000000
947206.7979406349,1000000
1011217.4499028682,1000000
1105147.9943096451,1000000
1176786.9485225414,1000000
1111755.0544389633,1000000
1033205.3607289469,1000000
928638.8195013555,1000000
886951.8862196147,1000000
851604.3186253593,1000000
997040.227054332,1000000
966500.8048490101,1000000
1178950.0591047024,1000000
964789.20026143,1000000
892161.0300298391,1000000
1152072.6179879275,1000000
1005674.8473056077,1000000
849725.7758148926,1000000
885991.3589492461,1000000
1107335.2052259985,1000000
1155065.6571398026,1000000
843095.2685838288,1000000
986975.1872147709,1000000
1038611.6952875231,1000000
791211.6916292023,1000000
1200832.2742489749,1000000
818159.1620214046,1000000
